SPECIES,BmP1,BmP2,BmP3,BmP4,BmP5,BmP6,BmP7,BmP8,BmP9,BmP10,Freq,total,density,Rel.density,Rel. frequency,RIV
Alstonei boonei,1,,,,,1,,,,1,2,2,0.0027,1.1560,2.040,1.5984
Blighia sapida,2,,1,1,,,1,,1,1,5,5,0.0068,2.8901,5.1020,3.9961
Bombax buonopozene,Bombax buonopozene,,,2,1,2,1,,1,,5,7,0.0096,4.0462,5.1020,4.5741
Bosqueia angolensis,Bosqueia angolensis,,,2,,,1,,1,,3,4,0.0055,2.3121,3.0612,2.6866
Celtis zenkeri,,1,,1,1,,1,2,,,4,5,0.0068,2.8901,4.0816,3.4859
Cleistopholis patens,1,2,1,1,,1,1,2,1,1,7,8,0.0110,4.6242,7.1428,5.8835
Diallium guineense,,,,,,,1,,1,,2,2,0.0027,1.1560,2.0408,1.5984
Dillenia indica,,,,,,1,,,1,,2,2,0.0027,1.1560,2.0408,1.5984
Diospyros dendo,5,1,6,4,,4,2,5,1,2,9,30,0.0413,17.341,9.1836,13.262
Drypetes species,,4,5,2,1,6,3,3,3,6,9,33,0.0455,19.075,9.1836,14.129
Ficus exasperata,1,,,,,1,,,,2,3,4,0.0055,2.3121,3.0617,2.6866
Grewia pubescens,5,2,1,,,3,,,1,3,6,15,0.0206,8.6705,6.1224,7.3964
Homalium aylmeri,,,2,1,,1,,,1,,4,5,0.0068,2.8901,4.0816,3.4859
Lecaniodiscus cupaniodes,Lecaniodiscus cupaniodes,1,,,,,,1,,,2,2,0.0027,1.1560,2.0408,1.5984
Margartaria discoidea,Margartaria discoidea,3,,,,,,1,,2,3,6,0.0082,3.4682,3.0612,3.2647
Musanga cecropioides,1,,2,1,2,2,2,,1,1,8,12,0.0165,6.9364,8.1632,7.5498
Nesogordonia papaverifera,Nesogordonia papaverifera,Nesogordonia papaverifera,1,,,,,,,,1,1,0.0013,0.5780,1.0204,0.7992
Pavetta Corymbosia,Pavetta Corymbosia,,,,,,1,,,,1,1,0.0013,0.5780,1.0204,0.7992
Picralima nitida,,1,,,,,,2,,,2,3,0.0041,1.7341,2.0408,1.8876
Pycanthus angolensis,Pycanthus angolensis,,2,,,2,,1,1,,4,6,0.0082,3.4682,4.0816,3.7749
Ricinodendron heudeotii,1,1,,,,,,,,,2,2,0.0027,1.1560,2.0408,1.5984
Sterculia rhinopetala,3,,,,1,1,,,1,,4,6,0.0082,3.4682,4.0816,3.7749
Sterculia tragacantha,1,,,,,,,,,,1,1,0.0013,0.5780,1.0204,0.7992
Strombosia postulata,Strombosia postulata,1,1,1,,2,,,1,,5,6,0.0082,3.4682,5.1020,4.2851
Trichilia monadelpha,Trichilia monadelpha,,1,2,,1,,,,1,4,5,0.0068,2.8901,4.0816,3.4859
25,,,,,,,,,,,98,173,0.2768,100,100,100
