SPECIES,BuP1,BuP2,BuP3,BuP4,BuP5,BuP6,BuP7,BuP8,BuP9,BuP10,Frequency,Individual,Density,Rel. density,Rel. Freq.,RIV
Albizia auxilary,1,,,,,1,,1,,,3,3,0.0041,1.30435,2.586207,1.945277
Alstonei boonei,1,,,,1,,1,1,2,1,6,7,0.0096,3.04348,5.172414,4.107946
Annonidium manni,,,,6,2,2,2,,1,1,6,14,0.0193,6.08696,5.172414,5.629685
Blighia sapida,,,,1,,,1,1,,,3,3,0.0041,1.30435,2.586207,1.945277
Blighia unijigata,,1,,,,,,,1,1,3,3,0.0041,1.30435,2.586207,1.945277
Celtis zenkeri,,1,2,3,1,1,1,1,1,1,9,12,0.0165,5.21739,7.758621,6.488006
Cleistoformis patens,1,,,,1,,,1,1,,4,4,0.0055,1.73913,3.448276,2.593703
Dialium guineense,,1,1,,,1,1,2,,1,6,7,0.0096,3.04348,5.172414,4.107946
Diospyros dendo,,3,9,9,1,,2,3,3,3,8,33,0.0455,14.3478,6.896552,10.62219
Diospyros soubreana,,,,1,,3,,,2,,3,6,0.0082,2.6087,2.586207,2.597451
Diospyros undebunda,1,,,,,,,1,,,2,2,0.0027,0.86957,1.724138,1.296852
Drypetes species,,3,3,12,11,4,,6,2,7,8,48,0.0662,20.8696,6.896552,13.88306
Funtumia elastica,,1,,,6,,1,,1,1,5,11,0.0151,4.78261,4.310345,4.546477
Garcinia kola,,,,1,,,,1,,1,3,3,0.0041,1.30435,2.586207,1.945277
Holarrhena floribunda,,,2,,,,,1,,,2,3,0.0041,1.30435,1.724138,1.514243
lecaniodiscus cupaniodes,,1,,,,1,,,,1,3,3,0.0041,1.30435,2.586207,1.945277
Milicia excelsa,,,,,1,1,,,,,2,2,0.0027,0.86957,1.724138,1.296852
Musanga cecropoidies,1,,,1,,1,1,,,1,5,5,0.0068,2.17391,4.310345,3.242129
Myrianthus arboreus,1,,,,,,,,,,1,1,0.0013,0.4347,0.8620,0.6484
Nesodogornia papaverifera,Nesodogornia papaverifera,2,1,1,1,1,2,2,,1,8,11,0.0151,4.7826,6.8965,5.8395
Piptadeniastrum africanum,Piptadeniastrum africanum,1,,,,,1,,,1,3,3,0.0041,1.3043,2.5862,1.9452
Ricinidendron heudeloti,,,,,1,,,,1,1,3,3,0.0041,1.3043,2.5862,1.9452
Scotellia coriacea,,,,,,,,1,2,,2,3,0.0041,1.3043,1.7241,1.5142
Sterculia rhinopetala,,,,,4,,1,,,1,3,6,0.0082,2.6087,2.5862,2.5974
Strombosia putulata,1,1,2,5,,1,2,3,2,1,9,18,0.0248,7.8260,7.7586,7.7923
Terminalia superba,,,,11,,1,,,1,,3,13,0.0179,5.6521,2.5862,4.1191
Uapaca heudelotii,,,1,,,,,,,,1,1,0.0013,0.4347,0.8620,0.6484
Zanthoxylum zanthoxyloides,Zanthoxylum zanthoxyloides,,1,,,,1,,,,2,2,0.0027,0.8695,1.7241,1.2968
28,,,,,,,,,,,116,230,0.3172,100,100,100
