SPECIES,CmP1,CmP2,CmP3,CmP4,CmP5,CmP6,CmP7,CmP8,CmP9,CmP10,Freq.,,Abundance,density,Rel density,Rel. Freq.,RIV
Amphimas tetracoides,1,,,,,1,,1,,,3,,3,0.0048,1.1235,2.4590,1.7913
Annonidium manni,2,2,1,,,1,,2,1,,6,,9,0.0144,3.3707,4.9180,4.1444
Anthonotha macrophylla,,,1,,,,2,,2,,3,,5,0.008,1.8726,2.4590,2.1658
Blighia Sapida,,1,,,,,,,1,,2,,2,0.032,0.7490,1.6393,1.1942
Celtis zenkeri,4,,,,,1,,1,,,3,,6,0.0069,2.2471,2.4590,2.3531
Cleistopholis patens,1,,,1,,,1,1,,1,5,,5,0.08,1.8726,4.0983,2.9855
Diospyros dendo,3,1,2,5,7,7,5,6,8,8,10,,52,0.0832,19.4756,8.1967,13.836
Drypetes species,6,6,2,2,4,1,3,5,6,7,10,,42,0.0672,15.7303,8.1967,11.963
Funtumia elastica,,,,2,,,3,,1,1,4,,7,0.0112,2.6217,3.2786,2.9502
Homalium aylmeri,1,2,,2,,1,1,1,,1,7,,9,0.0144,3.3707,5.7377,4.5542
irvinga gabonensis,,1,,,,1,1,,1,1,5,,5,0.008,1.8726,4.0983,2.9855
Lecaniodiscus cupanioides,1,1,1,,1,1,2,,,2,7,,9,0.0144,3.3707,5.7377,4.5542
Lonchocarpus cilliata,,,,,,1,,,,2,2,,3,0.0048,1.1235,1.6393,1.3814
Margaritaria discoidea,,,1,1,1,,3,1,3,,6,,10,0.016,3.7453,4.9180,4.3316
Millettia thoningii,,1,,,,,1,,1,,3,,3,0.0048,1.1235,2.4590,1.7913
Monodora tenuifolia,2,,2,,,,1,2,,,4,,7,0.0112,2.6217,3.2786,2.9502
Nesodogornia papaverifera,1,1,,,,,1,,2,,4,,5,0.008,1.8726,3.2786,2.5756
Picralima nitida,,7,4,2,6,4,1,,,2,7,,26,0.0416,9.7378,5.7377,7.7377
Pycnanthus angolensis,2,1,,,,,3,,1,,4,,7,0.0112,2.6217,3.2786,2.9502
Ricinodendron heudelotii,,1,2,,,,,,2,,3,,5,0.008,1.8726,2.4590,2.1658
Scotellia coricea,,,1,,,,1,,,1,3,,3,0.0048,1.1235,2.4590,1.7913
Sterculia rhinopetala,,1,1,3,1,1,1,,,,6,,8,0.0128,2.9962,4.9180,3.9571
Strombosia pustulata,3,6,4,2,6,1,,3,,2,8,,27,0.0432,10.1123,6.5573,8.3348
Trichilia gilgiana,,1,,1,,,,,1,,3,,3,0.0048,1.1235,2.4590,1.7913
Trichilia monadelpha,,,,,,1,,,,2,2,,3,0.0048,1.1235,1.6393,1.3814
Uapaca heudelotii,,,,,,,,1,,2,2,,3,0.0048,1.1235,1.6393,1.3814
26 species,,,,,,,,,,,122,,267,0.4272,100,100,100
