SPECIES,TsP1,TsP2,TsP3,TsP4,TsP5,TsP5,TsP7,TsP8,TsP9,TsP 10,Frequency,Individual,density,Rel density,Rel. Freq.,RIV
Albizia zygia,,,1,,,,1,,,,2,2,0.0027,0.9569,3.2258,2.0914
Alstonei bonei,,1,1,4,,1,4,3,,4,7,18,0.0248,8.6124,11.290,9.9514
Anthocliesta vogelii,1,,1,14,12,,7,12,1,3,8,51,0.0703,24.401,12.903,18.653
Bombax buonopozense,Bombax buonopozense,1,,,,1,,,11,,3,13,0.0179,6.2201,4.8387,5.5294
Bridelia ferruginea,1,,2,,,2,1,,,1,5,7,0.0096,3.3492,8.0645,5.7069
Cleistoformis patens,4,2,,7,11,4,5,9,4,3,9,49,0.0675,23.445,14.516,18.981
Elaeis guinensis,2,4,,,,4,,,4,,4,14,0.0193,6.6985,6.4516,6.5751
Ficus mucosa,6,3,1,,,5,,,8,1,6,24,0.0331,11.483,9.6774,10.58
Gmelina arborea,,,2,1,1,,2,2,,1,6,9,0.0124,4.3062,9.6774,6.9918
Harungana madagascariensis,Harungana madagascariensis,,,,,1,,,,1,2,2,0.0027,0.9569,3.2258,2.0914
Macranga bateri,1,,,,,1,,,,,2,2,0.0027,0.9569,3.2258,2.0914
Nauclea diderrichii,3,,,,,,,,1,,2,4,0.0055,1.9138,3.2258,2.5698
Termialia superba,,1,4,,,1,2,,,3,5,11,0.0151,5.2631,8.0645,6.6638
Theobroma cacao,,1,,,,1,,,1,,3,3,0.0041,1.4354,4.8387,3.1371
14,,,,,,,,,,,62,209,0.2882,100,100,100
