Species,TuP1,TuP2,TuP3,TuP4,TuP5,TuP6,TuP7,TuP8,TuP9,TuP10,Frequency,Individual,Density,Rel. density,Rel. Freq.,RIV
Artocarpus communis,,,,,5,,,,2,,2,7,0.009655,7.77778,4,5.888889
Bambusa vulgaris,,,,,,1,,1,,,2,2,0.002759,2.22222,4,3.111111
Bombax buonopozene,,1,,,,,,,,1,2,2,0.002759,2.22222,4,3.111111
Carica papaya,,,,1,,,,1,,,2,2,0.002759,2.22222,4,3.111111
Ceiba pentandra,1,,,,,1,,,1,,3,3,0.004138,3.33333,6,4.666667
Chrysophyllum albidum,,,,,,1,,,,,1,1,0.001379,1.11111,2,1.555556
Citrus sinenses,,,,1,,,,,,,1,1,0.001379,1.11111,2,1.555556
Cola nitida,,,,,3,,1,,,1,3,5,0.006897,5.55556,6,5.777778
Dracena manni,1,,,,,,,1,,1,3,3,0.004138,3.33333,6,4.666667
Elaeis guineense,2,3,4,2,2,1,2,2,,1,9,19,0.026207,21.1111,18,19.55556
Ficus exasperata,,,,1,,,1,1,1,,4,4,0.005517,4.44444,8,6.222222
Ficus mucuso,,1,,,,1,,,,,2,2,0.002759,2.22222,4,3.111111
Musa sapiensis,,,,2,,,,,,,1,2,0.002759,2.22222,2,2.111111
Raulvolfia vomitoria,2,,,,,,1,,,,2,3,0.004138,3.33333,4,3.666667
Ricinodendron heudeloti,1,,,,,1,,,,1,3,3,0.004138,3.33333,6,4.666667
Theobroma cacao,,3,5,5,,1,5,3,4,2,8,28,0.038621,31.1111,16,23.55556
Trema orientalis,,2,,,,,,,,,1,2,0.002759,2.22222,2,2.111111
Uapaca heudeloti,,,,,,1,,,,,1,1,0.001379,1.11111,2,1.555556
18,,,,,,,,,,,50,90,0.124138,100,100,100
